name,occupation,summary,birthday,deathday
Liam Aiken,Actor,A Series of Unfortunate Events,07-Jan-1990,-
Troy Aikman,Football,Cowboys all-time passing yards leader,21-Nov-1966,-
Roger Ailes,Government,CEO of Fox News,15-May-1940,-
Alvin Ailey,Dancer,Alvin Ailey American Dance Theater,05-Jan-1931,01-Dec-1989
Anouk Aimée,Actor,La Dolce Vita,27-Apr-1932,-
Michael L. Ainslie,Business,"CEO of Sotheby's, 1984-94",c. 1944,-
William Harrison Ainsworth,Novelist,The Tower of London,04-Feb-1805,03-Jan-1882
James Aiona,Politician,Lt. Governor of Hawaii,08-Jun-1955,-
Air Force Amy,Pornstar,Moonlite Bunny Ranch,c. 1965,-
Andrew Airlie,Actor,Capt. Ballard on Breaker High,18-Sep-1961,-
George Biddell Airy,Astronomer,British Astronomer Royal,27-Jul-1801,02-Jan-1892
Spottiswoode Aitken,Actor,Silent film actor,16-Apr-1868,26-Feb-1933
Fouad Ajami,Author,"Director of Middle East Studies, SAIS",09-Sep-1945,-
Nancy Ajram,Singer,Lebanese pop singer,16-May-1983,-
Daniel Akaka,Politician,US Senator from Hawaii,11-Sep-1924,-
Askar Akayev,Head of State,"President of Kyrgyzstan, 1990-2005",10-Nov-1944,-
Mark Akenside,Poet,The Pleasures of the Imagination,09-Nov-1721,23-Jun-1770
George A. Akerlof,Economist,Asymmetric markets,17-Jun-1940,-
Malin Akerman,Actor,The Heartbreak Kid,12-May-1978,-
John F. Akers,Business,"CEO of IBM, 1986-93",28-Dec-1934,-
Karen Akers,Actor,"Broadway actress, singer",13-Oct-1945,-
Daniel F. Akerson,Business,CEO of General Motors,21-Oct-1948,-
George Akerson,Government,First White House Press Secretary,05-Sep-1888,?
Akhenaton,Royalty,Blasphemous Pharaoh,c. 1380 BC,c. 1334 BC
Anna Akhmatova,Poet,Poem Without a Hero,11-Jun-1889,05-Mar-1966
Emperor Akihito,Royalty,Emperor of Japan,23-Dec-1933,-
Todd Akin,Politician,"Congressman, Missouri 2nd",05-Jul-1947,-
Adewale Akinnuoye-Agbaje,Actor,Adebisi in Oz,22-Aug-1967,-
Peter Akinola,Religion,Anglican Primate of Nigeria,1944,-
Claude Akins,Actor,Misadventures of Sheriff Lobo,25-May-1926,27-Jan-1994
James E. Akins,Diplomat,"US Ambassador to Saudi Arabia, 1973-75",15-Oct-1926,15-Jul-2010
Zoë Akins,Playwright,The Greeks Had a Word For It,30-Oct-1886,29-Oct-1958
Prince Akishino,Royalty,Second son of Emperor Akihito,30-Nov-1965,-
Masami Akita,Musician,"Merzbow, Destroyer of Worlds",1956,-
Moustapha Akkad,Film/TV Producer,Halloween producer,01-Jul-1930,10-Nov-2005
Akon,Singer,Trouble,16-Apr-1973,-
Sami Al-Arian,Criminal,Professor convicted of funding terrorism,14-Jan-1958,-
Asma al-Assad,First Lady,First Lady of Syria,11-Aug-1975,-
Hafez al-Assad,Head of State,"President of Syria, 1971-2000",06-Oct-1930,10-Jun-2000
Anwar al-Awlaki,Religion,"Yemeni video cleric, AQAP",22-Apr-1971,30-Sep-2011
Ibn Al-Baitar,Botanist,Muslim botanist and pharmacist,c. 1197,c. 1248
Omar al-Bashir,Politician,President of Sudan,01-Jan-1944,-
Nouri al-Maliki,Head of State,Prime Minister of Iraq,c. 1950,-
Harun al-Rashid,Royalty,Abbasid caliph,763 AD,24-Mar-809 AD
al-Razi,Doctor,Persian alchemist,c. 865 AD,27-Oct-925 AD
Jaber III al-Sabah,Royalty,"Emir of Kuwait, 1977-2006",29-Jun-1926,15-Jan-2006
Natasha Alam,Actor,Shadow Puppets,10-Mar-1983,-
Tony Alamo,Religion,Tony Alamo Ministries,20-Sep-1934,-
José Maria Alapont,Business,CEO of Federal-Mogul,c. 1951,-
Arthur L. Alarcon,Judge,"9th Circuit Court of Appeals, 1979-92",14-Aug-1925,-
Ali Alatas,Diplomat,"Indonesian Foreign Minister, 1988-99",04-Nov-1932,11-Dec-2008
Carlos Alazraqui,Actor,Deputy Garcia on Reno 911!,20-Jul-1962,-
Jessica Alba,Actor,Dark Angel,28-Apr-1981,-
Joshua Alba,Actor,"Actor, brother of Jessica Alba",08-Jul-1982,-
Licia Albanese,Singer,"Operatic soprano, La Bohème",22-Jul-1913,-
Captain Lou Albano,Wrestling,Pro wrestling manager,29-Jul-1933,14-Oct-2009
Damon Albarn,Musician,Frontman for Blur,23-Mar-1968,-
James F. Albaugh,Business,EVP at Boeing,31-May-1950,-
Edward Albee,Playwright,Who's Afraid of Virginia Woolf?,12-Mar-1928,-
Isaac Albéniz,Composer,Iberia,29-May-1860,18-May-1909
Tom A. Alberg,Business,Madrona Venture Group,c. 1940,-
Anna Maria Alberghetti,Actor,Carnival!,15-May-1936,-
Luis Alberni,Actor,Spanish-American character actor,04-Oct-1886,23-Dec-1962
Giulio Alberoni,Religion,Powerful Italo-Spanish cardinal,21-May-1664,16-Jun-1752
Josef Albers,Artist,Homage to the Square,19-Mar-1888,25-Mar-1976
Albert I,Royalty,"King of Belgium, 1909-34",08-Apr-1875,17-Feb-1934
Albert II,Royalty,King of Belgium,06-Jun-1934,-
Prince Albert II,Royalty,Sovereign Prince of Monaco,14-Mar-1958,-
Carl B. Albert,Politician,"Congressman from Oklahoma, 1946-76",10-May-1908,04-Feb-2000
Eddie Albert,Actor,Oliver on Green Acres,22-Apr-1906,26-May-2005
Edward Albert,Actor,Butterflies Are Free,20-Feb-1951,22-Sep-2006
Laura Albert,Novelist,The infamous JT LeRoy,1965,-
Marv Albert,Sports Figure,Yessssssss!,12-Jun-1941,-
Morris Albert,Singer/Songwriter,Feelings,07-Sep-1951,-
Prince Albert,Royalty,Royal Consort of Queen Victoria,26-Aug-1819,14-Dec-1861
Stew Albert,Activist,Founding Yippie,04-Dec-1939,30-Jan-2006
Leon Battista Alberti,Architect,Ten Books on Architecture,14-Feb-1404,25-Apr-1472
William O. Albertini,Business,"CFO of Bell Atlantic, 1991-97",29-Jun-1943,28-Jun-2008
Frank Albertson,Actor,American character actor,02-Feb-1909,29-Feb-1964
Jack Albertson,Actor,The Man on Chico and the Man,16-Jun-1907,25-Nov-1981
Joe Albertson,Business,Founder of Albertson's,17-Oct-1906,20-Jan-1993
Mabel Albertson,Actor,Darrin's mother on Bewitched,24-Jul-1901,28-Sep-1982
Erasmus Alberus,Religion,"German humanist, supporter of Luther",c. 1500,1553
Barry T. Albin,Judge,"Justice, New Jersey Supreme Court",07-Jul-1952,-
David R. Albin,Business,Natural Gas Partners,c. 1960,-
Steve Albini,Music Producer,"Big Black, Rapeman, Shellac",22-Jul-1962,-
Tomaso Albinoni,Composer,Adagio in G minor,08-Jun-1671,17-Jan-1751
Mitch Albom,Novelist,Tuesdays with Morrie,23-May-1958,-
Chris Albrecht,Business,Former HBO Chairman and CEO,c. 1951,-
Gerd Albrecht,Conductor,"Yomiuri Nippon Symphony, 1998-2007",19-Jun-1935,-
Karl Albrecht,Business,"Founded Aldi, personal worth $23B",28-Mar-1922,-
Theo Albrecht,Business,"World's 20th richest man, 2005",28-Mar-1922,24-Jul-2010
W. Steve Albrecht,Educator,Accounting Professor at BYU,c. 1949,-
Hardie Albright,Actor,Angel on My Shoulder,16-Dec-1903,07-Dec-1975
Joseph P. Albright,Judge,"WV Supreme Court Justice, 2001-09",08-Nov-1938,20-Mar-2009
Lola Albright,Actor,Lord Love a Duck,20-Jul-1925,-
Madeleine Albright,Diplomat,Bill Clinton's Secretary of State,15-May-1937,-
Tenley Albright,Figure Skating,"Olympic figure skater, Gold Medal in 1956",18-Jul-1935,-
William Foxwell Albright,Archaeologist,Biblical archaeologist at Johns Hopkins,24-May-1891,19-Sep-1971
Chris Alcaide,Actor,Gunslinger,22-Oct-1922,30-Jun-2004
Niceto Alcalá-Zamora,Government,1st President of the Second Spanish Republic,06-Jul-1877,18-Feb-1949
Birdman of Alcatraz,Criminal,Subject of Burt Lancaster movie,28-Jan-1890,22-Nov-1963
John R. Alchin,Business,"CFO of Comcast, 2002-07",c. 1948,-
George A. Alcorn,Business,Alcorn Exploration,c. 1933,-
Amy Alcott,Golf,Winner of 5 Majors,22-Feb-1956,-
Bronson Alcott,Educator,Founder of Boston's Temple School,29-Nov-1799,04-Mar-1888
Louisa May Alcott,Author,Little Women,29-Nov-1832,06-Mar-1888
Alan Alda,Actor,Capt. Hawkeye Pierce on M*A*S*H,28-Jan-1936,-
Frances Alda,Singer,"Operatic soprano, NY Metropolitan Opera",31-May-1879,18-Sep-1952
Robert Alda,Actor,Cloak and Dagger,26-Nov-1914,03-May-1986
Jason Aldean,Country Musician,Big Green Tractor,28-Feb-1977,-
Christopher J. Alden,Business,CEO of Six Apart,c. 1970,-
Norman Alden,Actor,Character actor,13-Sep-1924,27-Jul-2012
Kurt Alder,Chemist,Diels-Alder Reaction,10-Jul-1902,20-Jun-1958
Charles Alderton,Inventor,Invented Dr Pepper,21-Jun-1857,29-May-1941
William F. Aldinger,Business,"CEO of Household International, 1994-2003",1947,-
Richard Aldington,Poet,Death of a Hero,08-Jul-1892,27-Jul-1962
Ruggero J. Aldisert,Judge,"3rd Circuit Court of Appeals, 1968-86",10-Nov-1919,-
Brian Aldiss,Author,Supertoys Last All Summer Long,18-Aug-1925,-
Tom Aldredge,Actor,Into The Woods,28-Feb-1928,22-Jul-2011
Charles H. Aldrich,Attorney,"US Solicitor General, 1892-93",28-Aug-1850,13-Apr-1929
Gary Aldrich,Activist,Clinton antagonist,22-May-1945,-
Nelson W. Aldrich,Politician,"US Senator from Rhode Island, 1881-1911",06-Nov-1841,16-Apr-1915
Robert Aldrich,Film Director,The Dirty Dozen,09-Aug-1918,05-Dec-1983
Thomas Bailey Aldrich,Poet,The Story of a Bad Boy,11-Nov-1836,19-Mar-1907
Winthrop W. Aldrich,Business,"Chairman of Chase Manhattan Bank, 1934-53",02-Nov-1885,25-Feb-1974
James Aldridge,Novelist,The True Story of Lilli Stubeck,10-Jul-1918,-
Kay Aldridge,Actor,Perils of Nyoka,09-Jul-1917,12-Jan-1995
Michael Aldridge,Actor,Seymour on Last of the Summer Wine,09-Sep-1920,10-Jan-1994
Pete Aldridge,Business,"Under Secretary of Defense, 2001-03",18-Aug-1938,-
Buzz Aldrin,Astronaut,Second man on the Moon,20-Jan-1930,-
Ulisse Aldrovandi,Naturalist,Pioneering entomologist and naturalist,11-Sep-1522,10-Mar-1605
Norma Aleandro,Actor,The Official Story,02-May-1936,-
Sholem Aleichem,Author,Fiddler on the Roof,02-Mar-1859,13-May-1916
Vicente Aleixandre,Poet,Spanish surrealist poet,26-Apr-1898,14-Dec-1984
Kevin Alejandro,Actor,Jesus Velasquez on True Blood,07-Apr-1976,-
Raquel Alessi,Actor,Lia Mathers on Standoff,?,-
Betty C. Alewine,Business,COMSAT Corporation,c. 1948,-
Alexander,Royalty,"King of Greece, 1917-20",01-Aug-1893,25-Oct-1920
Tsar Alexander I,Royalty,"Tsar of Russia, 1801-25",23-Dec-1777,01-Dec-1825
Pope Alexander II,Religion,"Roman Catholic Pope, 1061-73",?,21-Apr-1075
Tsar Alexander II,Royalty,"Tsar of Russia, 1855-81",17-Apr-1818,13-Mar-1881
Pope Alexander III,Religion,"Roman Catholic Pope, 1159-81",c. 1105,30-Aug-1181
Alexander the Great,Royalty,World conqueror,Jul-356 BC,10-Jun-323 BC
Pope Alexander V,Religion,"Roman Catholic Pope, 1409-10",c. 1339,04-May-1410
Pope Alexander VI,Religion,"Divided the New World for Portugal, Spain",01-Jan-1431,18-Aug-1503
Pope Alexander VII,Religion,"Roman Catholic Pope, 1655-67",13-Feb-1599,22-May-1667
Pope Alexander VIII,Religion,"Roman Catholic Pope, 1689-91",22-Apr-1610,01-Feb-1691
Anthony J. Alexander,Business,CEO of FirstEnergy,c. 1951,-
Arthur Alexander,Singer,Influential soul singer,10-May-1940,09-Jun-1993
Barbara T. Alexander,Business,Former UBS manager,c. 1948,-
Bill Alexander,Politician,"Congressman from Arkansas, 1969-93",16-Jan-1934,-
Christopher Alexander,Architect,"A Pattern Language, The Nature of Order",04-Oct-1936,-
Cris Alexander,Photographer,"Portrait photographer, Broadway actor",14-Jan-1920,07-Mar-2012
Dave Alexander,Bassist,Original bassist for the Stooges,03-Jun-1947,10-Feb-1975
Douglas Alexander,Politician,"British MP, Paisley and Renfrewshire South",26-Oct-1967,-
Doyle Alexander,Baseball,Former MLB pitcher,04-Sep-1950,-
Erika Alexander,Actor,Living Single,19-Nov-1969,-
Flex Alexander,Actor,One on One,15-Apr-1970,-
Gerry L. Alexander,Judge,Washington Chief Justice,1936,-
Grover Cleveland Alexander,Baseball,"Pitcher, 373 career wins",26-Feb-1887,04-Nov-1950
J. Alexander,Model,America's Next Top Model,?,-
Jane Alexander,Actor,The Ring,28-Oct-1939,-
Jason Alexander,Actor,George Costanza on Seinfeld,23-Sep-1959,-
Joshua W. Alexander,Politician,"US Commerce Secretary, 1919-21",22-Jan-1852,27-Feb-1936
Keith B. Alexander,Military,"Director, National Security Agency",1952,-
Khandi Alexander,Actor,"NewsRadio, CSI: Miami",04-Sep-1957,-
Lamar Alexander,Politician,US Senator from Tennessee,03-Jul-1940,-
Lloyd Alexander,Novelist,The Chronicles of Prydain,30-Jan-1924,17-May-2007
Rodney Alexander,Politician,"Congressman, Louisiana 5th",05-Dec-1946,-
Ross Alexander,Actor,Captain Blood,27-Jul-1907,02-Jan-1937
Samuel Alexander,Philosopher,"Space, Time, and Deity",06-Jan-1859,13-Sep-1938
Sasha Alexander,Actor,Caitlin Todd on Navy NCIS,17-May-1975,-
Severus Alexander,Royalty,"Roman emperor, 222-35 AD",208 AD,235 AD
Shana Alexander,Journalist,"Nutcracker: Money, Madness and Murder",06-Oct-1925,23-Jun-2005
Shaun Alexander,Football,Seattle Seahawks RB,30-Aug-1977,-
Terence Alexander,Actor,Charlie Hungerford in Bergerac,11-Mar-1923,28-May-2009
Tsar Alexander III,Royalty,"Tsar of Russia, 1881-94",10-Mar-1845,01-Nov-1894
Ernst F. W. Alexanderson,Inventor,Developed radio and television at GE and RCA,25-Jan-1878,14-May-1975
Alexandra of Denmark,Royalty,"Queen Alexandra, Consort of Edward VII",01-Dec-1844,20-Nov-1925
Brandy Alexandre,Pornstar,"Twin Peeks, Whore of the Roses",17-Jul-1964,-
Sherman Alexie,Novelist,The Business of Fancydancing,07-Oct-1966,-
Jacques-Édouard Alexis,Head of State,Prime Minister of Haiti,21-Sep-1947,-
Kim Alexis,Model,Top 1980s model,15-Jul-1960,-
Tsar Alexis,Royalty,"Tsar of Russia, 1645-76",19-Mar-1629,08-Feb-1676
Zhores I. Alferov,Scientist,Developed solar cells for the Sputnik program,15-Mar-1930,-
Sal H. Alfiero,Business,"Founder, Mark IV Industries",c. 1938,-
Raúl Alfonsín,Head of State,"President of Argentina, 1983-89",13-Mar-1927,31-Mar-2009
Alfonso XII,Royalty,"King of Spain, 1874-85",28-Nov-1857,25-Nov-1885
Alfonso XIII,Royalty,"King of Spain, 1902-31",17-May-1886,28-Feb-1941
Kristian Alfonso,Actor,Days of Our Lives,05-Sep-1964,-
Mimi Alford,Author,Once Upon a Secret,07-May-1943,-
Steve Alford,Basketball,"Head Coach, UNM",23-Nov-1964,-
King Alfred the Great,Royalty,"King of England, 871-99 AD",c. 849 AD,26-Oct-899 AD
Hannes Alfvén,Physicist,Renegade Swedish astrophysicist,30-May-1908,02-Apr-1995
Horatio Alger,Author,Ragged Dick,13-Jan-1832,18-Jul-1899
Russell A. Alger,Government,"McKinley's Secretary of War, 1897-99",27-Feb-1836,24-Jan-1907
Nelson Algren,Author,The Man with the Golden Arm,28-Mar-1909,09-May-1981
Saif Ali Khan,Actor,Dil Chahta Hai,16-Aug-1970,-
Ahmed Ali,Novelist,Twilight in Delhi,01-Jul-1910,14-Jan-1994
Ayaan Hirsi Ali,Activist,Submission,13-Nov-1969,-
Laila Ali,Boxing,Daughter of Muhammad Ali,30-Dec-1977,-
Muhammad Ali,Boxing,"Floated like butterfly, stung like bee",17-Jan-1942,-
Tatyana Ali,Actor,The Fresh Prince of Bel-Air,24-Jan-1979,-
Kenneth Alibek,Biologist,Biological weapons designer,c. 1951,-
Mary Alice,Actor,The Matrix Revolutions,03-Dec-1941,-
Princess Alice,Royalty,Late Duchess of Gloucester,25-Dec-1901,29-Oct-2004
Ana Alicia,Actor,Melissa Gioberti on Falcon Crest,12-Dec-1956,-
Saul Alinsky,Activist,Rules for Radicals,30-Jan-1909,12-Jun-1972
Angela Alioto,Politician,San Francisco politician and pundit,20-Oct-1949,-
Joseph Alioto,Politician,"Mayor of San Franscisco, 1968-76",12-Feb-1916,29-Jan-1998
Dorothy Alison,Actor,See No Evil,04-Apr-1925,17-Jan-1992
Samuel Alito,Judge,US Supreme Court Justice,01-Apr-1950,-
Ilham Aliyev,Head of State,President of Azerbaijan,24-Dec-1961,-
William Allain,Politician,"Governor of Mississippi, 1984-88",14-Feb-1928,-
Paul Allaire,Business,Twice CEO of Xerox,21-Jul-1938,-
Maurice Allais,Economist,Monopoly pricing and the Allais effect,31-May-1911,09-Oct-2010
Roger Allam,Actor,Privates on Parade,26-Oct-1953,-
Elizabeth Allan,Actor,A Tale of Two Cities,09-Apr-1908,27-Jul-1990
Gary Allan,Country Musician,Smoke Rings in the Dark,05-Dec-1967,-
Harris Allan,Actor,Hunter on Queer as Folk,11-Feb-1985,-
Wayne Allard,Politician,"US Senator from Colorado, 1997-2009",02-Dec-1943,-
Iyad Allawi,Head of State,"Iraqi Prime Minister, 2004-05",1945,-
Joe Allbaugh,Government,"FEMA Director, 2001-03",27-Jul-1952,-
Joe L. Allbritton,Business,Well-connected Washington billionaire,29-Dec-1924,-
Louise Allbritton,Actor,Son of Dracula,03-Jul-1920,16-Feb-1979
Marc Allégret,Film Director,Entrée des Artistes,22-Dec-1900,04-Nov-1973
Yves Allégret,Film Director,The Proud and the Beautiful,13-Oct-1907,31-Jan-1987
Arnold A. Allemang,Business,"EVP of Dow Chemical, 2000-04",c. 1943,-
Barbara Jo Allen,Radio Personality,Vera Vague,02-Sep-1906,14-Sep-1974
Barry K. Allen,Business,"EVP at Qwest, 2004-07",c. 1949,-
Bernadette M. Allen,Diplomat,US Ambassador to Niger,c. 1955,-
Bill J. Allen,Business,"Founder, VECO Corporation",c. 1937,-
Bob Allen,Politician,"Florida State Representative, 2000-08",30-Sep-1958,-
Byron Allen,TV Personality,"Real People, The Byron Allen Show",22-Apr-1961,-
Chad Allen,Actor,Matthew Cooper on Dr. Quinn,05-Jun-1974,-
Charlotte Allen,Journalist,Conservative writer,?,-
Christa B. Allen,Actor,Charlotte Grayson on Revenge,11-Nov-1991,-
Claude Allen,Government,Former White House domestic policy advisor,11-Oct-1960,-
Daevid Allen,Musician,Demented musical gnome,13-Jan-1938,-
Darryl F. Allen,Business,"CEO of Aeroquip-Vickers, 1986-99",c. 1942,-
David Allen,Author,Getting Things Done,28-Dec-1945,-
David Allen,Business,"Group Chief of Staff, BP, 2000-08",c. 1955,-
Dayton Allen,Actor,Voice actor,24-Sep-1919,11-Nov-2004
Debbie Allen,Dancer,All About You,16-Jan-1950,-
Deborah Allen,Country Musician,Baby I Lied,30-Sep-1953,-
Dede Allen,Editor,Prominent Hollywood film editor,03-Dec-1925,17-Apr-2010
Dick Allen,Baseball,Outspoken MLB slugger,08-Mar-1942,-
Elizabeth Allen,Actor,The Jackie Gleason Show,25-Jan-1929,19-Sep-2006
Ethan Allen,Military,Fighter with the Green Mountain Boys,10-Jan-1739,12-Feb-1789
Fred Allen,Comic,Town Hall Tonight,31-May-1894,17-Mar-1956
Frederick Lewis Allen,Journalist,"Editor of Harpers, 1941-53",05-Jul-1890,13-Feb-1954
George Allen,Football,The Future is Now,29-Apr-1918,31-Dec-1990
George Allen,Politician,"US Senator from Virginia, 2001-07",08-Mar-1952,-
George V. Allen,Diplomat,"US Ambassador to Iran, 1946-48",03-Nov-1903,11-Jul-1970
Gracie Allen,Actor,Say goodnight Gracie,26-Jul-1895,27-Aug-1964
Henry Justin Allen,Politician,"Governor of Kansas, 1919-23",11-Sep-1868,17-Jan-1950
"Herbert A. Allen, Jr.",Business,"Allen & Company, Inc.",c. 1940,-
"Herbert A. Allen, Sr.",Business,"Allen & Company, Inc.",13-Feb-1908,18-Jan-1997
Hervey Allen,Poet,Ballads of the Border,08-Dec-1889,28-Dec-1949
Ira Allen,Military,Founder of the University of Vermont,21-Apr-1751,04-Jan-1814
Irwin Allen,Film/TV Producer,The Master of Disaster,12-Jun-1916,02-Nov-1991
James B. Allen,Politician,"US Senator from Alabama, 1969-78",28-Dec-1912,01-Jun-1978
Jay Allen,Business,"Senior VP at Wal-Mart, 1995-2005",?,-
Jeffry R. Allen,Business,Former VP at Network Appliance,c. 1952,-
Joan Allen,Actor,Mother in Pleasantville,20-Aug-1956,-
Jonelle Allen,Actor,"Grace on Dr. Quinn, Medicine Woman",18-Jul-1944,-
Karen Allen,Actor,Raiders of the Lost Ark,05-Oct-1951,-
Keith Allen,Actor,Keith Allen Will Burn In Hell,02-Jun-1953,-
Krista Allen,Actor,Jenna on Baywatch,05-Apr-1972,-
Laura Allen,Actor,Hannah Britten on Awake,21-Mar-1974,-
"Lew Allen, Jr.",Military,"Director of the NSA, 1973-77",30-Sep-1925,04-Jan-2010
Lewis Allen,Film Director,The Uninvited,25-Dec-1905,03-May-2000
Lily Allen,Singer,Smile,02-May-1985,-
Marcus Allen,Football,"Super Bowl MVP, 1984",26-Mar-1960,-
Marty Allen,Comic,Goofy-looking comedian,23-Mar-1922,-
Maryon Allen,Politician,"US Senator from Alabama, 1978",30-Nov-1925,-
Mel Allen,Sports Journalist,"Sportscaster, Voice of the Yankees",13-Feb-1913,16-Jun-1996
Mike Allen,Journalist,Politico,21-Jun-1964,-
Nancy Allen,Actor,RoboCop,24-Jun-1950,-
Paul Allen,Business,Co-Founder of Microsoft,21-Jan-1953,-
Peter Allen,Singer/Songwriter,I Go To Rio,10-Feb-1944,18-Jun-1992
Phog Allen,Basketball,"KU Head Coach, 1919-56",18-Nov-1885,16-Sep-1974
Ray Allen,Basketball,Miami Heat shooting guard,20-Jul-1975,-
Red Allen,Jazz Musician,Jazz trumpeter,07-Jan-1908,17-Apr-1967
Rex Allen,Actor,The Arizona Cowboy,31-Dec-1920,17-Dec-1999
Richard Allen,Religion,"Founder, African Episcopal Methodist Church",14-Feb-1760,26-Mar-1831
Richard V. Allen,Government,Reagan National Security Advisor,01-Jan-1936,-
Rick Allen,Drummer,Def Leppard's one-armed drummer,01-Nov-1963,-
Robert E. Allen,Business,"CEO of AT&T, 1988-97",25-Jan-1935,-
Ronald W. Allen,Business,"CEO of Delta Airlines, 1987-97",c. 1942,-
Samuel R. Allen,Business,CEO of John Deere,c. 1954,-
Steve Allen,Talk Show Host,The Tonight Show,26-Dec-1921,30-Oct-2000
Ted Allen,TV Personality,Food & Wine Queer Eye guy,20-May-1965,-
Thad Allen,Military,"Commandant, US Coast Guard",16-Jan-1949,-
Tim Allen,Actor,Home Improvement,13-Jun-1953,-
Tom Allen,Politician,"Congressman from Maine, 1997-2009",16-Apr-1945,-
Walter Allen,Novelist,All in a Lifetime,23-Feb-1911,28-Feb-1995
Woody Allen,Film Director,Annie Hall,01-Dec-1935,-
Edmund Allenby,Military,Defeated the Turks in WWI,23-Apr-1861,14-May-1936
Isabel Allende,Novelist,The House of Spirits,02-Aug-1942,-
Salvador Allende,Head of State,"Chilean President, deposed by Pinochet",26-Jul-1908,11-Sep-1973
Kirstie Alley,Actor,Rebecca from Cheers,12-Jan-1951,-
Peter F. Allgeier,Diplomat,US Ambassador to the WTO,?,-
Sara Allgood,Actor,How Green Was My Valley,31-Oct-1879,13-Sep-1950
G. G. Allin,Musician,Hated,29-Aug-1956,28-Jun-1993
Roger Allin,Politician,"Governor of North Dakota, 1895-97",18-Dec-1848,01-Jan-1936
